"Blueprint Campaigns","Blueprint Campaigns"
"Add Campaign","Add Campaign"
"You saved the campaign.","You saved the campaign."
"You deleted the campaign.","You deleted the campaign."
"This campaign no longer exists.","This campaign no longer exists."
"Campaign title is required.","Campaign title is required."
"Campaign identifier must be a lowercase URL key (letters, digits, hyphens), max 64 characters.","Campaign identifier must be a lowercase URL key (letters, digits, hyphens), max 64 characters."
"Campaign identifier ""%1"" already exists.","Campaign identifier ""%1"" already exists."
"There are no active campaigns right now.","There are no active campaigns right now."
"This campaign is not available.","This campaign is not available."
"This campaign has no products to show.","This campaign has no products to show."
"No products are assigned to this campaign.","No products are assigned to this campaign."
"Blueprint Campaign Products","Blueprint Campaign Products"
"Use an existing campaign","Use an existing campaign"
"Custom conditions","Custom conditions"
"Campaigns","Campaigns"
"Draft","Draft"
"Active","Active"
"Expired","Expired"
